customer_id,facility_id,unit_id,unit_name,temperature,temperature_unit,timestamp,sensor_id,set_temperature,size,size_unit,city,country,quality_score
H,facility_H_1,unit_H_1_1,Freezer Unit 1,-7.04,F,2025-06-17T20:31:38.555710,sensor_freezer_unit_1_2,-7.2,3245,sqft,Manchester,England,0.8446646969221859
H,facility_H_1,unit_H_1_2,Freezer Unit 2,-1.4,F,2025-06-17T20:31:38.555710,sensor_freezer_unit_2_3,-1.4,5096,sqft,Manchester,England,0.8641614431214268
H,facility_H_1,unit_H_1_3,Freezer Unit 3,1.53,F,2025-06-17T20:31:38.555710,sensor_freezer_unit_3_1,1.5,8328,sqft,Manchester,England,0.8489657419542874
H,facility_H_1,unit_H_1_4,Freezer Unit 4,-4.35,F,2025-06-17T20:31:38.555710,sensor_freezer_unit_4_2,-4.5,2236,sqft,Manchester,England,0.855745416893995
H,facility_H_2,unit_H_2_1,Freezer Unit 1,-7.31,F,2025-06-17T20:31:38.555710,sensor_unknown_526,-7.5,8002,sqft,Birmingham,England,0.8317117208010596
H,facility_H_1,unit_H_1_2,Freezer Unit 2,-1.15,F,2025-06-17T20:38:07.555710,sensor_freezer_unit_2_2,-1.4,5096,sqft,Manchester,England,0.8446113203407539
H,facility_H_1,unit_H_1_4,Freezer Unit 4,-4.27,F,2025-06-17T20:40:53.555710,sensor_freezer_unit_4_4,-4.5,2236,sqft,Manchester,England,0.8588803549299716
H,facility_H_2,unit_H_2_1,Freezer Unit 1,-7.1,F,2025-06-17T20:41:36.555710,sensor_freezer_unit_1_2,-7.5,8002,sqft,Birmingham,England,0.8594881631554254
H,facility_H_1,unit_H_1_1,Freezer Unit 1,-6.8,F,2025-06-17T20:42:45.555710,sensor_freezer_unit_1_3,-7.2,3245,sqft,Manchester,England,0.8390374137710681
H,facility_H_1,unit_H_1_3,Freezer Unit 3,1.49,F,2025-06-17T20:44:28.555710,sensor_freezer_unit_3_2,1.5,8328,sqft,Manchester,England,0.8543363470924564
H,facility_H_1,unit_H_1_2,Freezer Unit 2,-0.95,F,2025-06-17T20:44:36.555710,sensor_freezer_unit_2_3,-1.4,5096,sqft,Manchester,England,0.8556612551419219
H,facility_H_1,unit_H_1_4,Freezer Unit 4,-4.28,F,2025-06-17T20:50:08.555710,sensor_unknown_196,-4.5,2236,sqft,Manchester,England,0.8421845998095053
H,facility_H_1,unit_H_1_2,Freezer Unit 2,-0.82,F,2025-06-17T20:51:05.555710,sensor_freezer_unit_2_2,-1.4,5096,sqft,Manchester,England,0.8443917020872148
H,facility_H_2,unit_H_2_1,Freezer Unit 1,-6.98,F,2025-06-17T20:51:34.555710,sensor_freezer_unit_1_1,-7.5,8002,sqft,Birmingham,England,0.8574405689939449
H,facility_H_1,unit_H_1_1,Freezer Unit 1,-6.82,F,2025-06-17T20:53:52.555710,sensor_freezer_unit_1_3,-7.2,3245,sqft,Manchester,England,0.8611393503650153
H,facility_H_1,unit_H_1_3,Freezer Unit 3,1.5,F,2025-06-17T20:57:18.555710,sensor_freezer_unit_3_1,1.5,8328,sqft,Manchester,England,0.865751723470667
H,facility_H_1,unit_H_1_2,Freezer Unit 2,-0.74,F,2025-06-17T20:57:34.555710,sensor_freezer_unit_2_2,-1.4,5096,sqft,Manchester,England,0.8391728811136405
H,facility_H_1,unit_H_1_4,Freezer Unit 4,-4.15,F,2025-06-17T20:59:23.555710,sensor_unknown_917,-4.5,2236,sqft,Manchester,England,0.8645817246912919
H,facility_H_2,unit_H_2_1,Freezer Unit 1,-7.07,F,2025-06-17T21:01:32.555710,sensor_freezer_unit_1_4,-7.5,8002,sqft,Birmingham,England,0.8346850980126806
H,facility_H_1,unit_H_1_2,Freezer Unit 2,-0.64,F,2025-06-17T21:04:03.555710,sensor_freezer_unit_2_4,-1.4,5096,sqft,Manchester,England,0.8365033194156681
H,facility_H_1,unit_H_1_1,Freezer Unit 1,-6.67,F,2025-06-17T21:04:59.555710,sensor_freezer_unit_1_1,-7.2,3245,sqft,Manchester,England,0.8582877987408081
